1,1,1,100,1/1/18,2/2/18
2,2,1,100,1/1/18,2/2/18
3,3,1,100,1/1/18,2/2/18
4,4,1,100,1/1/18,2/2/18
5,5,1,102,1/3/18,2/3/18
6,6,1,102,1/3/18,2/3/18
7,7,1,102,1/3/18,2/3/18
8,8,1,102,1/3/18,2/3/18
9,9,1,102,1/3/18,2/3/18
10,11,1,102,1/3/18,2/3/18
11,12,2,105,12/12/17,1/12/18
12,10,2,105,12/12/17,1/12/17
13,20,2,105,2/3/18,3/3/18
14,18,2,105,1/5/18,2/5/18
15,19,2,105,1/5/18,2/5/18
16,19,2,100,1/3/18,2/3/18
17,11,2,106,1/7/18,2/7/18
18,1,2,106,1/7/18,2/7/18
19,2,2,100,1/7/18,2/7/18
20,3,2,100,1/7/18,2/7/18
21,5,2,105,12/12/17,1/12/18
22,4,3,103,1/9/18,2/9/18
23,7,3,102,1/3/18,2/3/18
24,17,3,102,1/3/18,2/3/18
25,16,3,104,1/3/18,2/3/18
26,15,3,104,1/3/18,2/3/18
27,15,3,107,1/3/18,2/3/18
28,14,3,104,1/3/18,2/3/18
29,13,3,107,1/3/18,2/3/18
30,13,3,102,1/3/18,2/3/18
31,19,3,102,12/12/17,1/12/18
32,20,4,103,1/3/18,2/3/18
33,1,4,102,1/12/18,2/12/18
34,3,4,107,1/3/18,2/3/18
35,18,4,107,1/3/18,2/3/18
36,12,4,102,1/4/18,2/4/18
37,11,4,103,1/15/18,2/15/18
38,9,4,103,1/15/18,2/15/18
39,7,4,107,1/1/18,2/2/18
40,4,4,103,1/1/18,2/2/18
41,1,4,103,2/2/17,3/2/18
42,20,4,103,1/3/18,2/3/18
43,1,4,102,1/12/18,2/12/18
44,3,4,107,1/13/18,2/13/18
45,18,4,107,1/13/18,2/13/18
46,12,4,102,1/14/18,2/14/18
47,11,4,103,1/15/18,2/15/18
48,9,4,103,1/15/18,2/15/18
49,7,4,107,1/19/18,2/19/18
50,4,4,103,1/19/18,2/19/18
51,1,4,103,1/22/18,2/22/18
