1,1,One,7.25
2,1,Blackened,6.42
3,2,Enter Sandman,5.30
4,2,Sad But True,5.29
5,3,Master of Puppets,8.35
6,3,Battery,5.13
7,4,Dialectic Chaos,2.26
8,4,Endgame,5.57
9,5,Peace Sells,4.09
10,5,The Conjuring,5.09
11,6,Madhouse,4.26
12,6,I am the Law,6.03
13,7,Reptile,3.36
14,7,Modern Girl,4.49
15,8,Riding with the King,4.23
16,8,Key to the Highway,3.39
17,9,Sharp Dressed Man,4.15
18,9,Legs,4.32
19,10,Eruption,1.43
20,10,Hot For Teacher,4.43
21,11,Sweet Home Alabama,4.45
22,11,Free Bird,14.23
23,12,Thunderstruck,4.52
24,12,T.N.T,3.35
25,13,Sgt. Pepper's Lonely Hearts Club Band,2.03
26,13,With a Little Help from My Friends,2.73
27,13,Lucy in the Sky with Diamonds,3.46
28,13,Getting Better,2.80
29,13,Fixing a Hole,2.60
30,13,She's Leaving Home,3.58
31,13,Being for the Benefit of Mr. Kite!,2.61
32,13,Within You Without You,5.06
33,13,When I'm Sixty-Four,2.61
34,13,Lovely Rita,2.70
35,13,Good Morning Good Morning,2.68
36,13,Sgt. Pepper's Lonely Hearts Club Band (Reprise),1.31
37,13,A Day in the Life,5.65
